RepRapFirmware height map file v2 generated at 2020-06-09 09:39, min error -0.228, max error 0.042, mean -0.037, deviation 0.063
xmin,xmax,ymin,ymax,radius,xspacing,yspacing,xnum,ynum
14.00,198.00,7.00,191.00,-1.00,46.00,46.00,5,5
 -0.228, -0.145, -0.078, -0.048, -0.032
 -0.118, -0.045,  0.017,  0.002, -0.020
  0.015,  0.027,  0.042, -0.035, -0.075
  0.037,  0.040,  0.027, -0.048, -0.100
 -0.030, -0.008, -0.002, -0.055, -0.065
